motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;1;20/04/2020;12/05/2020;1,58E+14;URBANA;UNIVERSITARIO;2;2;2;1;2;6,5;2;2;12;2;0;2;0;12;1;2;1;2;2;0;20,25;2;2;2;25;2;5;80,75
PROGRAMACION;2;27/04/2020;14/05/2020;1,58E+12;URBANA;CONDORITO;2;2;2;2;2;10;2;2;12;2;1;2;2;18,5;1;2;2;2;1;0;18,5;1;1;2;16,5;1;5;78
PROGRAMACION;3;18/04/2020;14/05/2020;1,58E+14;URBANA;EL ROSARIO;2;2;1;2;2;9,25;2;2;12;2;2;2;2;20;2;2;2;2;2;1;26;1;2;2;21;2;5;93,25
PROGRAMACION;4;22/05/2020;25/06/2020;1,58E+12;URBANA;EL DURAZNO;2;2;1;2;2;9,25;2;2;12;2;1;2;1;16;2;2;2;2;2;1;26;2;2;2;25;2;5;93,25
PROGRAMACION;5;19/05/2020;25/06/2020;1,58E+12;URBANA;EL ROSARIO;2;2;2;2;2;10;2;2;12;1;0;2;0;9;2;2;2;2;1;1;23;2;2;1;21;1;5;77,5
PROGRAMACION;6;18/05/2020;25/06/2020;1,58E+12;URBANA;EL ROSARIO;2;2;2;2;2;10;2;2;12;1;0;1;0;6;2;2;2;2;2;0;24;2;2;2;25;2;5;82
PROGRAMACION;7;8/05/2020;20/06/2020;1,58E+14;URBANA;OLAYA HERRERA;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;1;26;2;2;2;25;2;5;90
PROGRAMACION;8;18/06/2020;8/07/2020;1,58E+14;URBANA;GUSTAVO JIMENEZ;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;1;26;2;2;2;25;2;5;90
PROGRAMACION;9;6/07/2020;17/07/2020;1,58E+12;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;1;2;2;2;2;0;21,3;2;2;1;21;1;5;74,5
SOLICITUD DEL I;10;6/03/2020;11/05/2020;1,58E+14;URBANA;20 DE JULIO;2;2;2;2;2;10;2;2;12;2;2;2;1;17,5;2;2;2;2;2;2;28;2;2;2;25;2;2,5;97,5
SOLICITUD DEL I;11;9/03/2020;11/05/2020;1,58E+12;URBANA;LA CANDELARIA;2;2;2;1;2;8,5;2;2;12;2;2;2;2;20;2;2;2;2;2;1;26;1;2;2;21;2;5;92,5
PROGRAMACION;12;17/04/2020;30/05/2020;1,58E+12;URBANA;OLAYA HERRERA;2;1;1;1;2;7;2;2;12;2;2;2;2;20;2;2;1;2;1;1;21,75;1;1;1;12,5;1;2,5;75,75
PROGRAMACION;13;17/07/2020;31/07/2020;1,58E+12;URBANA;JARDIN;2;1;2;2;2;9,25;1;2;9;1;0;2;2;14;1;2;2;2;2;0;21,5;2;2;2;25;2;2,5;88,25
PROGRAMACION;14;15/08/2020;30/08/2020;1,58E+12;URBANA;SAN ANTONIO;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;1;2;1;2;2;0;20,25;2;2;2;25;2;5;82,75
PROGRAMACION;15;19/08/2020;30/08/2020;1,58E+11;URBANA;LA VILLITA;2;2;2;2;2;10;2;2;12;2;0;2;0;12;1;2;1;2;2;0;20,25;1;2;2;21;2;5;80,25
PROGRAMACION;16;20/08/2020;30/08/2020;1,58E+14;URBANA;SAN MARTIN CENTRO;2;1;2;1;2;7,75;2;1;9;1;0;1;0;6;1;2;1;2;1;0;17,25;1;2;2;21;2;5;66
PROGRAMACION;17;20/08/2020;30/08/2020;1,58E+12;URBANA;SAN MARTIN CENTRO;2;1;2;2;2;9,25;1;2;9;2;2;1;2;17;1;2;1;2;1;1;19,25;1;2;2;21;2;2,5;80,5
PROGRAMACION;18;18/08/2020;15/09/2020;1,58E+12;URBANA;SANTA ISABEL;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;88
PROGRAMACION;19;17/09/2020;2/10/2020;1,58E+12;URBANA;VILLA DEL SOL;1;1;2;2;2;8,25;1;1;6;2;2;2;0;15;1;2;2;2;1;0;18,5;1;2;2;21;2;2,5;74
PROGRAMACION;20;29/09/2020;23/10/2020;1,58E+11;URBANA;20 DE JULIO;2;2;1;1;2;7,75;2;2;12;2;2;1;2;17;2;2;1;2;1;0;19,75;1;2;2;21;2;5;82,5
PROGRAMACION;21;30/09/2020;23/10/2020;1,58E+12;URBANA;20 DE JULIO;1;1;2;2;2;8,25;1;2;9;2;0;2;1;14,5;1;2;2;2;1;0;18,5;1;2;2;21;2;5;76,25
PROGRAMACION;22;18/09/2020;24/10/2020;1,58E+14;URBANA;VILLA DEL SOL;2;1;2;2;2;9,25;2;2;12;2;0;2;0;12;2;2;1;2;2;0;22,75;1;2;2;21;2;5;82
PROGRAMACION;23;26/08/2020;27/10/2020;1,58E+14;URBANA;SANTA INES;2;1;2;1;2;7,75;2;2;12;2;1;2;1;16;1;2;1;2;1;0;17,25;2;2;2;25;2;5;83
SOLICITUD DEL I;24;8/09/2020;27/10/2020;1,58E+14;URBANA;LA CANDELARIA;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;2;26;2;2;2;25;2;5;98
PROGRAMACION;25;8/10/2020;12/11/2020;1,58E+12;URBANA;20 DE JULIO;2;1;1;2;2;8,5;1;2;9;2;0;2;1;14,5;2;2;2;2;1;0;21;2;2;2;25;2;5;83
PROGRAMACION;26;19/10/2020;13/11/2020;1,58E+12;URBANA;CHAPINERO;2;2;2;1;2;8,5;2;2;12;2;1;1;1;13;1;2;2;2;2;2;25,5;2;2;2;25;2;5;89
PROGRAMACION;27;19/11/2020;1/12/2020;NO PRESENTA;URBANA;CHAPINERO;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;2;2;2;2;0;20,25;2;2;2;25;2;5;79,75
