motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;22/05/2020;1/06/2020;157591057585266;URBANA;LUIS CARLOS GALAN;2;1;1;1;6;1;2;9,5;2;0;1;1;12,5;1;2;2;1;20,5;1;2;2;2;1;0;24;72,5
PROGRAMACION;2;22/05/2020;1/06/2020;15759463555860;URBANA;VALDES TAVERA;2;1;1;1;6;1;2;9,5;2;1;2;1;17;1;2;2;2;22,5;1;2;2;2;2;1;28,5;83,5
PROGRAMACION;3;4/06/2020;16/06/2020;1575952529904;URBANA;CENTRO;2;2;2;2;10;2;1;8,5;2;2;2;2;20;2;2;2;1;23;1;2;2;2;1;1;25;86,5
PROGRAMACION;4;21/05/2020;3/06/2020;1575923926131;URBANA;SANTA INES;1;2;1;2;8;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;1;23;71
PROGRAMACION;5;8/05/2020;1/06/2020;1575924117631;URBANA;LAGUITO;2;2;1;1;7;2;2;12;2;0;1;0;10,5;1;2;2;2;22,5;1;2;2;2;2;0;27,5;79,5
PROGRAMACION;6;7/05/2020;1/06/2020;1575923675179;URBANA;20 DE JULIO;2;1;2;1;7;2;2;12;2;2;1;1;14,5;1;2;2;2;22,5;1;2;1;2;2;1;26,5;82,5
PROGRAMACION;7;28/04/2020;1/06/2020;1575924226552;URBANA;SANTA INES;2;1;1;2;8;2;1;8,5;2;0;1;0;10,5;1;2;2;2;22,5;1;2;2;2;2;0;27,5;77
PROGRAMACION;8;15/05/2020;5/06/2020;157591020736307/9;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;2;1;1;1;13,5;1;2;2;2;22,5;1;2;2;2;2;2;29,5;81
PROGRAMACION;9;19/05/2020;5/06/2020;1575952958492;URBANA;LA CASTELLANA;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;1;17;0;2;1;2;1;1;19,5;68
PROGRAMACION;10;21/05/2020;5/06/2020;157591117813473;URBANA;LA CASTELLANA;1;1;1;1;5;2;2;12;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;72,5
PROGRAMACION;11;4/06/2020;28/06/2020;1575946387327;URBANA;OLAYA HERRERA;2;1;1;1;6;1;1;6;2;0;1;0;10,5;1;2;2;2;22,5;1;2;1;2;1;0;22;67
PROGRAMACION;12;28/05/2020;25/06/2020;1575946380669;URBANA;20 DE JULIO;2;2;1;1;7;1;2;9,5;2;0;1;1;12,5;1;2;1;2;19;1;2;1;2;1;0;22;70
PROGRAMACION;13;28/05/2020;25/06/2020;15759743746644;URBANA;SANTA INES;2;1;1;1;6;1;2;9,5;2;0;2;0;14;1;2;1;2;19;1;2;2;2;2;0;27,5;76
PROGRAMACION;14;2/07/2020;13/07/2020;157594170046;URBANA;EL LAGUITO;2;1;2;2;9;1;2;9,5;2;2;2;2;20;1;2;1;2;19;1;2;2;2;1;0;24;81,5
PROGRAMACION;15;19/06/2020;13/07/2020;1575946386488;URBANA;ALVARO GONZALEZ SANTANA;2;2;1;2;9;2;1;8,5;2;2;1;2;16,5;1;2;1;2;19;1;2;2;2;2;0;27,5;80,5
PROGRAMACION;16;18/06/2020;13/07/2020;NO PRESENTA;URBANA;EL LAGUITO;2;2;2;2;10;1;1;6;2;0;1;1;12,5;1;2;2;2;22,5;1;2;2;2;1;0;24;75
PROGRAMACION;17;16/06/2020;13/07/2020;NO PRESENTA;URBANA;EL LAGUITO;2;2;1;1;7;2;1;8,5;2;0;1;0;10,5;1;2;2;1;20,5;1;2;1;2;2;0;25,5;72
PROGRAMACION;18;8/06/2020;2/07/2020;NO PRESENTA;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;2;2;20;1;2;2;2;22,5;1;2;1;2;1;1;23;80
PROGRAMACION;19;26/06/2020;15/07/2020;1575946382902;URBANA;CHAPINERO;1;2;2;1;7;2;1;8,5;2;0;1;0;10,5;1;2;2;2;22,5;1;2;1;2;1;0;22;70,5
PROGRAMACION;20;26/06/2020;15/07/2020;1575911057594640;URBANA;CHAPINERO;2;1;1;1;6;1;1;6;2;0;1;0;10,5;1;2;2;2;22,5;1;2;1;2;1;0;22;67
PROGRAMACION;21;12/03/2020;11/05/2020;NO PRESENTA;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;1;1;0;8;0;2;1;1;14,5;1;2;1;2;1;1;23;60
PROGRAMACION;22;10/03/2020;11/05/2020;NO PRESENTA;URBANA;MAGDALENA;2;1;1;2;8;1;2;9,5;2;2;1;2;16,5;1;2;2;1;20,56;2;1;1;2;1;1;22,5;77
PROGRAMACION;23;9/03/2020;11/05/2020;NO PRESENTA;URBANA;LOS ALISOS;2;1;1;1;6;2;2;12;2;0;1;1;12,5;1;2;2;1;20,5;1;2;1;2;2;1;26,5;77,5
PROGRAMACION;24;9/03/2020;11/05/2020;NO PRESENTA;URBANA;LOS ALISOS;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;2;2;1;2;21,5;1;2;2;2;2;1;28,5;81
