motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;11/07/2020;22/07/2020;1,57595E+12;URBANA;VALDES TAVERA;2;1;1;1;6;2;2;12;2;0;1;2;14,5;2;2;1;1;19,5;1;2;2;2;1;0;24;76
PROGRAMACION;2;9/07/2020;22/07/2020;1,57595E+12;URBANA;LAS ALONDRAS;1;1;1;1;5;1;2;9,5;2;0;2;0;14;1;2;1;1;17;1;2;2;2;1;1;25;70,5
PROGRAMACION;3;8/07/2020;22/07/2020;1,57595E+12;URBANA;OLAYA HERRERA;2;1;1;1;6;2;2;12;2;2;2;2;20;1;2;1;1;17;1;2;2;2;1;1;25;80
PROGRAMACION;4;13/07/2020;30/07/2020;1,57595E+12;URBANA;EL RECREO;2;1;1;1;6;1;2;9,5;2;0;2;0;14;2;2;1;2;21,5;2;2;1;2;1;1;26,5;77,5
PROGRAMACION;5;13/07/2020;30/07/2020;1,57594E+12;URBANA;EL RECREO;2;1;1;1;6;1;2;9,5;2;2;2;2;20;1;2;1;2;19;2;2;1;2;1;1;26,5;81
PROGRAMACION;6;22/07/2020;5/08/2020;1,57591E+14;URBANA;OLAYA HERRERA;1;1;1;1;5;1;2;9,5;2;2;2;2;20;2;2;2;1;23;2;2;1;2;1;1;26,5;84
PROGRAMACION;7;22/07/2020;5/08/2020;1,57591E+14;URBANA;SANTA INES;2;1;1;1;6;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;2;1;26,5;69,5
PROGRAMACION;8;23/07/2020;5/08/2020;1,57598E+12;URBANA;SUGAMUXI;1;1;1;1;5;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;64
PROGRAMACION;9;23/07/2020;5/08/2020;1,57591E+13;URBANA;VENECIA;2;1;1;1;6;1;2;9,5;2;0;2;0;14;1;2;1;2;19;2;2;1;2;1;0;25,5;74
PROGRAMACION;10;23/07/2020;5/08/2020;15759891856302/6;URBANA;SANTA HELENA;1;1;1;2;7;1;2;9,5;2;2;1;0;12,5;2;2;1;2;21,5;2;2;1;2;1;1;26,5;77
SOLICITUD DEL I;11;24/07/2020;15/08/2020;1,57599E+13;URBANA;LA VILLITA;2;1;1;2;8;2;2;12;2;2;2;2;20;2;2;2;2;25;2;2;2;2;1;2;29,5;94,5
SOLICITUD DEL I;12;9/03/2020;15/07/2020;1,57595E+12;URBANA;EL CORTEZ;2;1;2;2;9;2;2;12;2;2;2;2;20;2;2;2;2;25;2;2;2;2;2;1;32;98
PROGRAMACION;13;12/03/2020;15/07/2020;1,57595E+12;URBANA;SUGAMUXI;2;2;2;2;10;2;2;12;2;2;2;2;20;1;2;1;2;19;2;2;2;2;1;2;29,5;90,5
PROGRAMACION;14;6/11/2020;30/11/2020;1,57595E+12;URBANA;EL ORIENTE;1;1;1;2;7;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;1;2;1;0;22;65,5
PROGRAMACION;15;23/11/2020;2/12/2020;1,57591E+14;URBANA;NO PRESENTA;2;1;1;1;6;1;2;9,5;1;1;2;1;13,5;1;2;1;1;17;1;2;1;2;1;1;23;69
PROGRAMACION;16;17/11/2020;3/12/2020;1,57595E+12;URBANA;SANTA HELENA;1;1;1;2;7;2;2;12;1;1;1;1;10;1;2;1;2;19;2;2;2;2;2;1;32;80
SEGUIMIENTO;17;30/11/2020;12/12/2020;1,576E+12;URBANA;SUGAMUXI;1;2;2;1;7;1;2;9,5;2;2;1;0;12,5;1;2;1;2;19;1;2;2;2;1;0;24;72
