motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
SOLICITUD DEL INTERESADO;1;27/02/2020;6/03/2020;1,57594E+11;URBANA;CENTRO;2;1;1;2;2;8,5;2;2;12;2;2;1;2;17;1;2;2;2;2;0;21,5;2;2;1;21;2;5;85
PROGRAMACION;2;2/04/2020;21/04/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;1;1;5,95;2;1;9;2;0;1;0;9;2;0;0;2;1;1;18;1;2;2;21;1;2,5;65,45
PROGRAMACION;3;2/04/2020;11/05/2020;NO PRESENTA;URBANA;CENTRO;2;1;2;2;2;9,25;2;2;12;2;2;2;2;20;2;2;2;2;2;1;26;1;2;2;21;1;2,5;90,75
PROGRAMACION;4;17/04/2020;3/05/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;2;2;8,5;2;2;12;2;1;2;2;12,5;0;2;2;2;2;1;21;2;2;2;25;2;5;84
PROGRAMACION;5;17/04/2020;3/05/2020;1,576E+12;URBANA;CENTRO;2;2;1;1;2;7,75;1;2;9;2;1;2;1;16;1;1;2;2;2;1;22,25;2;2;2;25;2;5;85
PROGRAMACION;6;24/04/2020;3/05/2020;1,57591E+14;URBANA;CENTRO;2;1;2;2;2;9,25;2;2;12;2;2;2;1;17,5;1;2;2;2;2;2;25,5;2;2;2;25;2;5;94,25
PROGRAMACION;7;28/04/2020;3/05/2020;1,57595E+12;URBANA;SAN MARTIN;1;1;2;2;2;8,25;1;2;9;1;0;1;0;6;1;2;1;2;2;0;20,25;2;2;2;25;2;5;73,5
PROGRAMACION;8;28/05/2020;25/06/2020;1,57595E+12;URBANA;EL ROSARIO;2;2;2;2;2;10;1;2;9;2;2;2;1;17,5;1;2;1;2;2;0;20,25;2;2;2;25;2;5;86,75
PROGRAMACION;9;11/05/2020;11/06/2020;1,57597E+12;URBANA;MONQUIRA;2;1;2;2;2;9,25;2;1;9;2;2;2;2;20;2;2;1;2;2;0;22,75;2;1;1;16,5;1;2,5;80
PROGRAMACION;10;23/04/2020;11/05/2020;1,57599E+11;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;2;1;2;1;16;1;2;1;2;1;1;19,25;1;2;2;21;1;2,5;79,25
SEGUIMIENTO;11;3/09/2020;15/09/2020;1,576E+11;URBANA;6 DE SEPTIEMBRE;1;1;1;1;2;6;1;1;6;1;2;1;2;14;1;2;1;0;1;0;9,25;1;2;2;21;2;5;61,25
