motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;13/10/2020;21/10/2020;157591057608947;URBANA;CHAPINERO;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;64,5
PROGRAMACION;2;14/10/2020;21/10/2020;157599526189;URBANA;LOS ALISOS;2;1;1;1;6;1;2;9,5;1;2;1;1;11;1;2;1;1;17;1;2;2;2;2;0;27,5;71
PROGRAMACION;3;14/10/2020;21/10/2020;157591057599960;URBANA;LAGUITO;2;1;2;1;7;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;65
PROGRAMACION;4;15/09/2020;12/10/2020;157591057593651;URBANA;UNIVERSITARIO;2;2;1;1;7;2;2;12;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;67
PROGRAMACION;5;16/09/2020;12/10/2020;1575946380889;URBANA;VENECIA;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60,5
PROGRAMACION;6;24/09/2020;23/10/2020;15759900337464;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;1;2;2;1;14,5;1;2;1;1;17;1;2;2;2;1;1;25;72
PROGRAMACION;7;24/09/2020;23/10/2020;15759900337464;URBANA;CENTRO;1;2;1;1;6;2;2;12;1;2;2;1;14,5;1;2;1;2;19;1;2;2;2;1;1;25;75,5
PROGRAMACION;8;23/09/2020;23/10/2020;157591057576771;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;9;25/09/2020;24/10/2020;1575925415903;URBANA;CENTRO;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;65
PROGRAMACION;10;25/09/2020;27/10/2020;1575952529904;URBANA;CENTRO;2;1;2;2;9;2;2;12;1;0;1;1;9;2;2;1;1;19,5;1;2;2;2;1;1;25;74,5
PROGRAMACION;11;4/09/2020;28/10/2020;1575946370189;URBANA;SANTA MARTA;2;2;2;1;8;1;2;9,5;1;0;1;1;9;2;2;1;2;21,5;1;2;2;2;2;1;28,5;76,5
PROGRAMACION;12;13/10/2020;11/11/2020;15759900537464;URBANA;LAGUITO;2;1;2;1;7;1;2;9,5;1;2;1;1;11;2;2;1;1;19,5;1;2;2;2;1;1;25;72
PROGRAMACION;13;15/10/2020;14/11/2020;1575946386041;URBANA;UNIVERSITARIO;2;2;1;1;7;2;2;12;0;0;1;1;5,5;1;2;1;2;19;1;2;1;2;1;0;22;65,5
PROGRAMACION;14;7/10/2020;14/11/2020;157591030576780;URBANA;EL RECREO;2;1;1;1;6;1;1;6;1;0;1;1;9;1;2;1;2;19;1;2;2;2;1;0;24;64
PROGRAMACION;15;7/10/2020;14/11/2020;1575946362510;URBANA;MAGDALENA;2;1;2;1;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;64,5
PROGRAMACION;16;7/10/2020;14/11/2020;1575946383302;URBANA;MAGDALENA;1;1;1;1;5;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;65
PROGRAMACION;17;7/10/2020;14/11/2020;157591057608521;URBANA;MAGDALENA;2;1;1;1;6;2;1;8,5;1;0;2;1;12,5;1;2;1;2;19;1;2;2;2;1;0;24;70
PROGRAMACION;18;8/10/2020;15/10/2020;NO PRESENTA;URBANA;VALDEZ TAVERA;2;1;1;1;6;1;2;9,5;0;0;1;0;3,5;1;2;1;1;17;1;2;1;0;1;0;13;49
PROGRAMACION;19;21/10/2020;17/11/2020;157592411968203;URBANA;JARDIN;2;2;1;1;7;1;1;6;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;25,5;64,5
PROGRAMACION;20;22/10/2020;17/11/2020;157591057581712;URBANA;LA VILLITA;2;1;2;1;7;2;1;8,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;63,5
PROGRAMACION;21;28/10/2020;19/11/2020;NO PRESENTA;URBANA;LA PRADERA;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;65
PROGRAMACION;22;27/10/2020;19/11/2020;NO PRESENTA;URBANA;EL LAGUITO;2;2;2;1;8;2;2;12;1;0;1;0;7;1;2;1;2;19;1;2;2;2;2;0;27,5;73,5
PROGRAMACION;23;26/10/2020;21/11/2020;157599525259;URBANA;ARRAYANES;2;1;1;1;6;2;1;8,5;1;2;1;0;9;1;2;1;2;19;1;2;1;2;2;0;25,5;68
PROGRAMACION;24;9/11/2020;1/12/2020;NO PRESENTA;URBANA;SIMON BOLIVAR;1;2;1;1;6;2;2;12;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;66
PROGRAMACION;25;10/11/2020;1/12/2020;1575910515908410;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;26;12/11/2020;1/12/2020;NO PRESENTA;URBANA;EL BOSQUE;1;2;1;1;6;2;2;12;1;0;1;1;9;1;2;1;1;17;1;2;1;2;2;0;25,5;69,5
SOLICITUD DEL I;27;4/11/2020;2/12/2020;1575946380711;URBANA;VALDEZ TAVERA;2;2;1;1;7;1;2;9,5;1;0;2;0;10,5;1;2;1;2;19;1;2;2;2;2;0;27,5;73,5
PROGRAMACION;28;4/11/2020;2/12/2020;1575946351404;URBANA;VILLA DEL SOL;1;2;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;62,5
PROGRAMACION;29;18/11/2020;3/12/2020;NO PRESENTA;URBANA;LA PRADERA;2;2;1;1;7;1;2;9,5;1;2;1;2;13;1;2;1;2;19;1;2;1;2;2;0;25,5;74
PROGRAMACION;30;6/11/2020;7/12/2020;NO PRESENTA;URBANA;MONIQUIRA;2;2;1;1;7;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;61,5
PROGRAMACION;31;6/11/2020;7/12/2020;NO PRESENTA;URBANA;UNIVERSITARIO;2;2;2;1;8;2;2;12;1;2;1;2;13;1;2;1;2;19;1;2;1;2;1;0;22;74
