motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;14/05/2020;26/05/2020;1,58E+12;URBANA;SAN MARTIN CENTRO;CARRERA 9 N 15/93;2;1;1;2;8;1;2;9,5;2;2;2;2;20;1;2;1;2;19;1;2;2;2;1;0;24;80,5
PROGRAMACION;2;16/04/2020;26/05/2020;1,58E+11;URBANA;CENTRO;CALLE 13 N 11/98;1;1;1;2;7;1;2;9,5;2;1;1;0;11,5;1;2;0;1;13,5;2;2;1;2;1;1;26,5;68
PROGRAMACION;3;20/04/2020;26/05/2020;1,58E+12;URBANA;CENTRO;CALLE 15 N 11-117;1;1;1;2;7;1;2;9,5;2;1;1;1;13,5;1;2;2;1;20,5;0;2;1;2;0;0;15;65,5
PROGRAMACION;4;21/04/2020;26/05/2020;1,58E+12;URBANA;OLAYA HERRERA;CARRERA 11 N 8/78;1;1;1;1;5;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;1;23,5;65,5
PROGRAMACION;5;22/04/2020;26/05/2020;NO PRESENTA;URBANA;CENTRO;CARRERA 10 N 14/68;1;1;2;1;6;1;2;9,5;2;2;1;2;16,5;2;2;2;1;23;1;2;1;2;2;1;26,5;81,5
PROGRAMACION;6;24/04/2020;26/05/2020;NO PRESENTA;URBANA;MAGDALENA;CARRERA 27 N 4/65;1;1;1;2;7;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;1;23;70
PROGRAMACION;7;25/04/2020;26/05/2020;NO PRESENTA;URBANA;MAGDALENA;CALLE 2DA F N 26/05;1;1;1;1;5;1;2;9,5;2;1;2;2;19;1;2;1;1;17;1;2;2;2;1;0;24;74,5
PROGRAMACION;8;27/04/2020;26/05/2020;1,58E+14;URBANA;EL LAGUITO;CARRERA 11 N 22-133;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;1;17;1;2;1;2;1;1;23;71,5
PROGRAMACION;9;27/04/2020;26/05/2020;1575919436105/6;URBANA;SANTA INES;CARRERA 14 N 8/06;1;1;1;2;7;1;1;6;2;2;1;2;16,5;1;2;1;1;17;2;1;1;2;2;1;28;74,5
PROGRAMACION;10;28/04/2020;26/05/2020;NO PRESENTA;URBANA;LA CASTELLANA;CALLE 10 N 13/25;2;1;1;1;6;2;1;8,5;2;1;2;1;17;1;2;1;1;17;1;2;1;2;2;1;26,5;75
PROGRAMACION;11;28/04/2020;26/05/2020;NO PRESENTA;URBANA;SANTA ISABEL;CALLE 11 N 15/71;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;1;17;0;2;1;2;1;1;19,5;68
