motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;11/05/2020;26/05/2020;1,58E+14;URBANA;CENTRO;2;1;2;2;9;2;2;12;2;1;2;1;17;1;2;2;2;22,5;1;2;2;2;1;0;24;84,5
PROGRAMACION;2;11/05/2020;26/05/2020;NO PRESENTA;URBANA;CENTRO;1;1;2;2;8;2;2;12;2;0;2;1;16;1;2;1;2;19;2;2;1;2;1;1;26,5;81,5
PROGRAMACION;3;13/05/2020;26/05/2020;1,58E+12;URBANA;LAGUITO;2;2;1;2;9;2;2;12;2;1;2;1;17;1;2;2;2;22,5;1;2;1;2;2;1;26,5;87
PROGRAMACION;4;15/05/2020;26/05/2020;1,58E+12;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;2;2;2;2;20;1;2;2;1;20,5;1;2;2;2;1;0;24;80
PROGRAMACION;5;13/05/2020;26/05/2020;1,58E+14;URBANA;LAGUITO;2;2;1;1;7;1;2;9,5;2;0;1;0;10,5;1;2;2;1;20,5;1;2;2;2;1;0;15;62,5
PROGRAMACION;6;19/05/2020;26/05/2020;1,58E+12;URBANA;LAGUITO;2;2;1;1;7;1;2;9,5;2;1;2;1;17;1;2;1;1;17;1;2;1;2;1;0;22;72,5
PROGRAMACION;7;26/05/2020;1/06/2020;1,58E+11;URBANA;LAGUITO;2;2;1;2;9;2;2;12;2;1;2;1;17;1;2;2;2;22,5;1;2;2;2;2;0;27,5;88
PROGRAMACION;8;8/05/2020;1/06/2020;1,58E+14;URBANA;CENTRO;2;2;1;1;7;1;1;6;2;1;2;1;17;1;2;1;2;19;2;2;2;2;2;1;32;81
PROGRAMACION;9;7/05/2020;1/06/2020;1,58E+13;URBANA;CENTRO;2;2;1;2;9;1;2;9,5;2;0;1;0;10,5;1;2;1;2;19;1;2;1;2;1;1;23;71
PROGRAMACION;10;7/05/2020;1/06/2020;1,58E+13;URBANA;CENTRO;2;1;2;2;9;1;2;9,5;2;1;1;0;11,5;1;2;1;2;19;1;2;2;2;2;1;28,5;77,5
