motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;1;18/05/2020;21/05/2020;1,58E+12;URBANA;CENTRO;2;2;1;2;9;1;2;9,5;2;1;2;1;17;2;2;1;2;21,5;2;2;2;2;1;1;28,5;85,5
PROGRAMACION;2;18/05/2020;21/05/2020;1,58E+11;URBANA;CENTRO;2;1;1;2;6;1;0;6;2;2;2;1;18;1;2;1;2;19;2;2;1;2;1;1;26,5;75,5
PROGRAMACION;3;13/05/2020;21/05/2020;1,58E+12;URBANA;CENTRO;2;1;1;2;6;2;0;8,5;2;0;1;0;10,5;1;2;1;2;19;1;2;2;2;1;0;24;68
PROGRAMACION;4;13/05/2020;21/05/2020;1,58E+12;URBANA;LAGUITO;1;1;1;2;5;2;0;8,5;2;1;1;2;15,5;1;2;2;2;22,5;1;1;2;0;1;2;11,5;63
PROGRAMACION;5;14/05/2020;21/05/2020;1,58E+12;URBANA;CENTRO;2;1;1;2;6;2;0;8,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;1;23;68
PROGRAMACION;6;14/05/2020;21/05/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;10;2;0;8,5;2;2;1;2;16,5;2;2;1;2;21,5;1;2;2;2;2;1;28,5;85
PROGRAMACION;7;8/05/2020;21/05/2020;1,58E+12;URBANA;CENTRO;1;2;2;2;7;2;2;12;1;2;1;2;13;1;2;1;2;19;1;2;2;2;2;1;28,5;79,5
PROGRAMACION;8;7/05/2020;21/05/2020;1,58E+12;URBANA;PLAZA DE MERCADO;1;1;1;2;5;2;2;12;2;1;1;2;15,5;1;2;1;2;19;1;2;1;2;1;1;23;74,5
PROGRAMACION;9;7/05/2020;22/05/2020;1,58E+12;URBANA;PLAZA DE MERCADO;2;1;1;2;8;2;2;12;2;1;2;1;17;1;2;1;2;18,5;1;2;2;2;1;0;24;79,5
PROGRAMACION;10;7/05/2020;22/05/2020;1,58E+12;URBANA;CENTRO;1;1;1;2;7;2;0;8,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;0;22;68
PROGRAMACION;11;7/05/2020;22/05/2020;1,58E+12;URBANA;PLAZA DE MERCADO;1;1;1;2;5;2;2;12;2;1;1;1;13,5;1;2;1;1;17;1;2;2;2;1;0;24;71,5
PROGRAMACION;12;5/05/2020;22/05/2020;1,58E+14;URBANA;LAGUITO;2;2;1;2;7;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;0;22;69
PROGRAMACION;13;21/05/2020;1/06/2020;1,58E+12;URBANA;CENTRO;2;1;2;2;9;1;2;9,5;2;2;1;2;16,5;1;2;1;2;19;1;2;2;2;1;1;25;79
PROGRAMACION;14;21/05/2020;1/06/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;10;2;0;8,5;2;2;1;1;14,5;1;2;1;1;17;1;1;1;2;1;0;20;70
PROGRAMACION;15;21/05/2020;1/06/2020;1,58E+12;URBANA;CENTRO;2;2;1;2;7;2;2;12;2;2;1;1;14,5;1;2;1;1;17;1;2;1;2;1;0;19;69,5
SEGUIMIENTO;16;1/06/2020;16/06/2020;1,58E+12;URBANA;LAGUITO;2;1;2;2;9;2;2;12;2;1;2;2;19;1;2;2;2;22,5;1;2;2;2;2;2;29,5;92
SEGUIMIENTO;17;3/06/2020;16/06/2020;1,58E+14;URBANA;CENTRO;2;1;2;2;8;2;2;12;2;1;2;2;19;1;2;1;2;19;1;2;2;2;1;1;25;83
SEGUIMIENTO;18;2/06/2020;16/06/2020;1,58E+14;URBANA;CENTRO;2;2;2;2;10;2;2;12;2;2;2;2;20;1;2;1;2;19;1;2;1;2;2;1;26,5;87,5
PROGRAMACION;19;2/06/2020;16/06/2020;1,58E+12;URBANA;CENTRO;2;2;1;2;7;1;0;6;2;1;1;1;13,5;1;2;1;1;17;1;2;2;2;1;0;24;67,5
