motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;proce_req_legal;p_cumplimiento
ASOCIADA A PETICIONES QUEJAS Y RECLAMOS;1;26/02/2020;5/03/2020;1,57596E+11;URBANA;CENTRO;2;1;1;1;2;7;1;1;6;1;0;1;1;10;2;2;2;2;1;2;25;2;2;1;21;2;5;74
PROGRAMACION;2;2/04/2020;13/04/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;1;1;6;1;1;6;2;0;2;0;13,5;2;1;1;2;1;1;20,5;1;2;2;21;2;5;72
PROGRAMACION;3;6/03/2020;13/04/2020;1,57599E+11;URBANA;EL CORTES;2;2;2;2;1;9;2;2;12;2;2;2;2;20;2;2;2;2;2;1;28;1;2;2;21;2;5;95
PROGRAMACION;4;26/03/2020;15/04/2020;1,57592E+12;URBANA;EL ORIENTE;2;2;2;2;1;10;2;1;9;2;2;2;2;20;2;2;1;2;2;0;23;2;2;2;25;2;5;92
PROGRAMACION;5;26/03/2020;16/04/2020;1,57591E+14;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;0;1;0;9;2;2;2;2;1;0;21;1;2;1;21;2;5;78
PROGRAMACION;6;27/03/2020;20/04/2020;1,57591E+14;URBANA;SANTA CATALINA;2;2;2;2;2;10;2;2;12;2;0;0;0;6;1;2;2;2;1;0;18,5;2;2;2;25;2;5;76,5
PROGRAMACION;7;28/03/2020;21/04/2020;1,57595E+12;URBANA;LA CASTELLANA;2;2;2;1;1;7,5;2;1;9;2;0;2;0;12;1;1;1;2;0;1;15;2;2;2;25;2;5;73,5
PROGRAMACION;8;28/03/2020;21/04/2020;1,57593E+12;URBANA;SANTA CATALINA;2;2;1;1;2;7,75;2;1;9;2;2;1;1;14,5;1;2;2;2;1;0;18,5;1;2;2;21;2;5;75,7
PROGRAMACION;9;26/03/2020;24/04/2020;1,57595E+12;URBANA;ARRAYANES;2;2;2;1;1;7,5;2;2;12;2;2;2;1;17,5;2;2;2;2;2;0;24;2;2;2;25;2;5;91
PROGRAMACION;10;20/04/2020;12/05/2020;1,57595E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;1;2;9;2;0;2;2;17;1;2;2;2;1;0;18,5;2;2;2;25;1;2,5;80,5
PROGRAMACION;11;22/04/2020;12/05/2020;1,57591E+14;URBANA;SUGAMUXI;2;2;2;1;1;7,5;2;1;9;2;0;2;1;16;2;2;1;2;1;0;19,75;2;2;2;25;2;5;82,25
PROGRAMACION;12;22/04/2020;12/05/2020;1,57591E+14;URBANA;CONDORITO;2;1;1;2;2;8,5;1;2;9;2;2;2;2;20;2;2;2;2;1;2;25;2;1;2;20,5;1;2,5;85,5
PROGRAMACION;13;24/04/2020;12/05/2020;1,57595E+12;URBANA;CENTRO;2;2;1;2;2;9,25;2;2;12;2;0;1;0;10,5;2;2;1;2;2;0;22,75;2;1;2;20,5;1;2,5;77,5
PROGRAMACION;14;27/04/2020;14/05/2020;1,57592E+12;URBANA;EL CORTEZ;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;2;2;1;21;2;5;72
PROGRAMACION;15;27/04/2020;14/05/2020;1,57591E+14;URBANA;EL CORTEZ;2;1;1;2;2;8,5;2;1;9;2;0;2;0;12;2;2;2;2;1;0;21;2;2;2;25;2;5;80,5
PROGRAMACION;16;28/04/2020;14/05/2020;1,57591E+14;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;0;2;0;12;2;1;2;2;2;0;24;2;2;1;21;2;5;81,5
PROGRAMACION;17;28/04/2020;14/05/2020;1,57591E+14;URBANA;SUGAMUXI;2;1;2;2;2;9,25;2;2;12;2;0;2;0;12;2;2;2;2;1;0;21;2;2;1;21;1;2,5;77,75
PROGRAMACION;18;4/06/2020;16/06/2020;1,57597E+12;URBANA;SUGAMUXI;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;96
PROGRAMACION;19;4/06/2020;16/06/2020;1,57599E+14;URBANA;CHINCA;2;2;2;2;2;10;1;1;6;2;2;2;2;20;2;2;1;2;2;1;24,75;1;2;1;17;1;2,5;80,25
PROGRAMACION;20;6/06/2020;16/06/2020;1,57591E+14;URBANA;VALDEZ TAVERA;2;1;2;1;2;7,75;1;2;9;2;0;1;0;9;1;2;1;2;2;0;20,5;1;1;2;16,5;2;5;67,75
