motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;1;9/03/2020;13/04/2020;NO PRESENTA;URBANA;SUGAMUXI;2;2;2;0;2;7;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;85
PROGRAMACION;2;6/03/2020;13/04/2020;1,58E+12;URBANA;LA FLORIDA;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;96
PROGRAMACION;3;26/03/2020;13/04/2020;1,58E+11;URBANA;SANTA CATALINA;2;2;2;1;2;8,5;1;2;9;2;1;2;2;18,5;2;2;2;2;2;1;26;2;2;2;25;2;5;92
PROGRAMACION;4;28/03/2020;13/04/2020;1,58E+11;URBANA;LA SIERRA;2;2;1;1;2;7,75;1;1;6;2;2;2;2;20;0;2;2;2;2;1;21;2;2;2;25;2;5;84,7
PROGRAMACION;5;28/02/2020;14/04/2020;1,58E+13;URBANA;CATALU¢A;2;2;2;2;2;10;1;2;9;2;2;2;1;20;2;2;2;2;2;2;27,5;2;2;2;25;2;5;97,5
PROGRAMACION;6;28/03/2020;14/04/2020;1,58E+12;URBANA;CATALU¢A;2;2;2;1;2;10;2;2;12;1;1;2;1;13;2;2;2;2;2;0;24;2;2;2;25;2;5;87,5
PROGRAMACION;7;28/03/2020;14/04/2020;1,58E+12;URBANA;CATALU¢A;2;2;2;1;2;8,5;2;2;12;2;2;2;2;20;2;2;1;2;1;1;23;1;1;2;25;2;5;93,5
PROGRAMACION;8;29/03/2020;14/04/2020;1,58E+12;URBANA;ALTOS DEL CATALU¢A;2;2;2;1;2;8,5;2;1;9;2;0;2;0;12;2;2;2;2;1;0;21;2;2;2;25;1;2,5;78
PROGRAMACION;9;29/03/2020;14/04/2020;NO PRESENTA;URBANA;CHICAMOCHA;2;2;2;1;2;8,5;2;2;12;2;0;2;1;14,5;2;2;2;2;1;0;21;2;2;2;25;2;5;86
PROGRAMACION;10;28/03/2020;15/04/2020;1,58E+11;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;1;2;20,5;2;5;91,5
