motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;estado_salud;pract_higie_dota;capaci_mani_higie_alim3;pers_mani_aliment;condi_equi_ut_sup_beb_alco;preven_cont_cruz;condi_almac;almac_comerc;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;proced_bebi_alco;ley_obl_beb_alco;veri_product_beb_alco;p_cumplimiento
PROGRAMACION;1;26/05/2020;1/06/2020;1,57592E+12;CARRERA 6 A N 7/22;SUGAMUXI;2;2;2;1;8;2;2;0;14;2;1;2;16;2;2;2;2;2;0;35;2;2;14;87
SOLICITUD DEL INTERESADO;2;26/05/2020;9/09/2020;1,57591E+14;TRANSVERSAL 8 # 3A - 95;MONQUIRA;2;2;2;2;10;2;2;0;14;2;2;2;19;2;2;2;2;2;1;36,5;2;2;14;93,5
PROGRAMACION;3;26/05/2020;9/09/2020;1,57597E+12;CARRERA 11 # 4 - 99;SANTA CATALINA;2;2;2;1;8;2;2;1;16,5;2;2;1;15,5;2;2;2;2;2;0;35;2;2;14;86,5
PROGRAMACION;4;28/05/2020;9/09/2020;1,57595E+12;CARRERA 17 # 11 - 44;20 DE JULIO;2;2;1;1;7;1;1;1;9,5;2;2;1;15,5;1;2;1;2;2;1;30;2;2;14;76
PROGRAMACION;5;18/06/2020;9/09/2020;1,57593E+12;CALLE 8 # 10 - 17 BIS LOCAL  2;OLAYA HERRERA;2;2;1;2;9;2;2;1;16,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;90,5
PROGRAMACION;6;23/06/2020;9/09/2020;1,57591E+14;CARRERA 11 # 11 - 73 ;CENTRO;2;2;2;1;8;1;2;1;13;2;2;2;19;2;1;2;2;2;0;32;2;2;14;86
SEGUIMIENTO;7;24/06/2020;9/09/2020;1,57593E+12;CALLE 8 # 10 - 29 AV SOL;OLAYA HERRERA;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;2;0;35;2;2;14;97
PROGRAMACION;8;24/06/2020;9/09/2020;1,57592E+12;CALLE 9 # 11 - 56;OLAYA HERRERA;1;1;2;1;6;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;78
SEGUIMIENTO;9;25/06/2020;9/09/2020;1,57597E+12;CALLE 8 BIS # 10 - 68;OLAYA HERRERA;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;2;0;35;2;2;14;97
SEGUIMIENTO;10;27/06/2020;9/09/2020;1,57593E+12;CALLE 7 # 7 - 80;SUGAMUXI;2;2;2;2;10;2;2;2;19;2;2;2;19;2;2;2;2;1;1;33;2;0;9;90
PROGRAMACION;11;13/08/2020;9/09/2020;NO PRESENTA;CARRERA 11 # 16 -33 ;CENTRO;2;2;2;2;10;2;2;2;19;2;2;1;15,5;2;2;2;2;1;0;31,5;2;2;14;90
PROGRAMACION;12;13/08/2020;10/09/2020;1,57591E+14;CARRERA 13 # 14 - 120 ;CENTRO;2;2;2;2;10;2;2;0;14;2;2;2;19;2;2;2;2;2;0;35;2;2;14;92
PROGRAMACION;13;15/08/2020;10/09/2020;1,576E+11;CARRERA 11 # 16 - 57;CENTRO;2;2;2;2;10;2;2;0;14;2;1;2;16;2;2;2;2;1;0;31,5;2;2;14;85,5
PROGRAMACION;14;18/08/2020;10/09/2020;1,57595E+12;CARRERA 11 # 38 - 52;LA MANGA;2;2;2;2;10;2;2;0;12;2;2;1;12;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;15;18/08/2020;10/09/2020;1,57595E+12;TRANSVERSAL 17 # 14 - 47 ;AV. SAN MARTIN;2;2;2;2;10;2;2;2;14;1;2;2;16;2;2;2;2;2;0;35;2;2;14;94
PROGRAMACION;16;18/08/2020;10/09/2020;1,57592E+12;CARRERA 11 # 35A - 26;LA PRADERA;2;2;2;1;8;0;2;0;7;2;2;2;19;2;2;2;2;2;0;38;2;2;14;86
PROGRAMACION;17;19/08/2020;10/09/2020;1,57594E+12;CARRERA 12D # 46C - 57 ;RINCON DE LA FLORESTA;2;2;1;2;9;2;2;0;14;1;2;1;12,5;2;2;2;2;2;0;35;2;2;14;85,5
PROGRAMACION;18;19/08/2020;10/09/2020;1,57592E+13;CALLE 47 # 12 - 49;LAS MARIAS ;2;2;1;1;7;2;2;0;14;2;2;2;19;2;2;2;2;2;0;35;2;2;14;90
PROGRAMACION;19;25/08/2020;10/09/2020;1,57597E+12;CARRERA 11 # 19 - 15;LAGUITO;2;2;2;1;8;2;2;2;19;2;2;1;15,5;2;2;1;2;2;0;35;2;2;14;91,5
PROGRAMACION;20;25/08/2020;10/09/2020;1,57591E+14;CARRERA 12 # 46 - 16;LAS MARIAS ;2;1;1;2;8;2;2;0;14;2;2;1;15,5;2;2;2;2;1;0;31,5;2;2;14;83
