motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;recep_req_leg;condi_almac;cons_product;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACI…N;1;10/11/2020;20/11/2020;1,58E+12;URBANO;LA VILLITA;2;2;2;2;15;1;1;2;2;2;2;22;2;2;2;23;2;2;2;2;2;2;31;94,5
PROGRAMACI…N;2;12/02/2020;20/11/2020;1,58E+12;URBANO;EL BOSQUE;2;2;2;2;17;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;94
PROGRAMACI…N;3;12/11/2020;20/11/2020;1,58E+14;URBANO;EL BOSQUE;2;1;2;2;15;1;1;2;2;2;2;22;2;2;2;23;2;2;2;2;2;2;31;94,5
PROGRAMACI…N;4;12/11/2020;20/11/2020;1,58E+12;URBANO;ARRAYANES;2;1;2;2;15;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;92
PROGRAMACI…N;5;12/11/2020;20/11/2020;1,58E+12;URBANO;LOS ARRAYANES;2;1;2;2;15;2;2;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;95,5
PROGRAMACI…N;6;12/11/2020;20/11/2020;1,58E+12;URBANO;UNIVERSITARIO;2;1;2;2;13;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;90
PROGRAMACI…N;7;12/11/2020;20/11/2020;1,58E+12;URBANO;EL BOSQUE;2;1;2;2;13;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;90
PROGRAMACI…N;8;12/11/2020;20/11/2020;1,58E+12;URBANO;UNIVERSITARIO;2;1;2;2;13;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;90
PROGRAMACI…N;9;12/11/2020;20/11/2020;NO PRESENTA;URBANO;UNIVERSITARIO;2;1;2;2;15;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;92
PROGRAMACI…N;10;12/11/2020;20/11/2020;1,58E+12;URBANO;UNIVERSITARIO;2;1;2;2;15;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;92
PROGRAMACI…N;‹11;18/11/2020;20/11/2020;1,58E+12;URBANO;VALDES TAVERA;2;1;2;2;13;1;1;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;90
PROGRAMACI…N;12;18/11/2020;20/11/2020;1,58E+11;URBANO;VALDES TAVERA;2;1;2;2;15;2;2;2;2;2;2;22;2;2;2;23;1;2;2;2;2;2;28,5;95,5
